Update,Type,Abundance
27400,Cheater,3361
27500,Cooperator,6329
27500,Cheater,3322
27600,Cooperator,6298
27600,Cheater,3352
27700,Cooperator,6095
27700,Cheater,3300
27800,Cooperator,6104
27800,Cheater,3411
27900,Cooperator,6198
27900,Cheater,3418
28000,Cooperator,6519
28000,Cheater,3285
28100,Cooperator,6364
28100,Cheater,3531
28200,Cooperator,6280
28200,Cheater,3621
28300,Cooperator,6064
28300,Cheater,3649
28400,Cooperator,5908
28400,Cheater,3547
28500,Cooperator,5927
28500,Cheater,3726
28600,Cooperator,5816
28600,Cheater,3838
28700,Cooperator,5773
28700,Cheater,3959
28800,Cooperator,5752
28800,Cheater,3854
28900,Cooperator,5577
28900,Cheater,3972
29000,Cooperator,5631
29000,Cheater,3999
29100,Cooperator,5862
29100,Cheater,3877
29200,Cooperator,5789
29200,Cheater,3946
29300,Cooperator,5665
29300,Cheater,4019
29400,Cooperator,5572
29400,Cheater,4183
29500,Cooperator,5467
29500,Cheater,3958
29600,Cooperator,5499
29600,Cheater,4081
29700,Cooperator,5299
29700,Cheater,4331
29800,Cooperator,5177
29800,Cheater,4682
29900,Cooperator,5004
29900,Cheater,4339
30000,Cooperator,4874
30000,Cheater,4184
30100,Cooperator,4770
30100,Cheater,4289
30200,Cooperator,4995
30200,Cheater,4535
30300,Cooperator,4829
30300,Cheater,4350
30400,Cooperator,4696
30400,Cheater,4233
30500,Cooperator,4761
30500,Cheater,4472
30600,Cooperator,4572
30600,Cheater,4485
30700,Cooperator,4568
30700,Cheater,4464
30800,Cooperator,4596
30800,Cheater,4212
30900,Cooperator,4728
30900,Cheater,4234
31000,Cooperator,4755
31000,Cheater,4257
31100,Cooperator,4636
31100,Cheater,4304
31200,Cooperator,4415
31200,Cheater,4203
31300,Cooperator,4479
31300,Cheater,4471
31400,Cooperator,4653
31400,Cheater,3950
31500,Cooperator,4725
31500,Cheater,4285
31600,Cooperator,4661
31600,Cheater,4419
31700,Cooperator,4668
31700,Cheater,4381
31800,Cooperator,4734
31800,Cheater,4346
31900,Cooperator,4903
31900,Cheater,4491
32000,Cooperator,4834
32000,Cheater,4650
32100,Cooperator,4664
32100,Cheater,4487
32200,Cooperator,4624
32200,Cheater,4378
32300,Cooperator,4508
32300,Cheater,4896
32400,Cooperator,4642
32400,Cheater,4501
32500,Cooperator,4648
32500,Cheater,4537
32600,Cooperator,4517
32600,Cheater,4822
32700,Cooperator,4317
32700,Cheater,4900
32800,Cooperator,4443
32800,Cheater,4686
32900,Cooperator,4353
32900,Cheater,4647
33000,Cooperator,4585
33000,Cheater,4420
33100,Cooperator,4577
33100,Cheater,4579
33200,Cooperator,4339
33200,Cheater,4292
33300,Cooperator,4426
33300,Cheater,4593
33400,Cooperator,4457
33400,Cheater,4631
33500,Cooperator,4193
33500,Cheater,4834
33600,Cooperator,4186
33600,Cheater,4906
33700,Cooperator,4154
33700,Cheater,4524
33800,Cooperator,4097
33800,Cheater,4807
33900,Cooperator,3724
33900,Cheater,4871
34000,Cooperator,3601
34000,Cheater,4837
34100,Cooperator,3368
34100,Cheater,4939
34200,Cooperator,3191
